S/N,ProductName,Description,TextSpecifications,CleansedText
34,Griffin Compact Coin Slot Bifold Wallet (RFID),"The definitive choice for the minimalist, the Griffin holds your bills in the smallest possible surface area and your cards in the slimmest possible profile. No more ugly bulges. Store your coins, keys, SIM card and pin in its hidden compartments.","Materials
- U.S full-grain waxed leather
- Cotton blend herringbone lining
- Hand-stitched oxblood thread binding
- RFID blocking lining
Features
- 2 bill compartments, 6 card slots
- SIM card and pin slots
- Hidden coin compartment
- RFID-protection
- Packaged in our signature grey book box",wax cotton blend herringbone oxblood bind rfid bill sim hide grey book box
35,Antoinette Small Bifold Wallet Crossbody Bag | Web-Exclusive,"The Antoinette Small Bifold Wallet Crossbody Bag melds the best of two worlds - the functionality to store all your notes, cards and coins while compact enough to fit in small bags. The dual gusset coin compartment gives unparalleled organisation. The added versatility of a strap makes hands free travel a breeze. Made of the finest quality full-grain leather, this wallet is destined to age elegantly.","Materials
- Full grain U.S. Cow Leather
- Cross grain U.S Cow Leather
- Herringbone Lining
- YKK Japan Excella antique silver zippers
Features
-14 card slot, 1 note compartment
- 1 exterior zippered coin compartment with 2 gussets
- Debossed quote ""Un pour tous, tous pour un""
- Packaged in our Signature Book III: The 4th Musketeer box",cow cross cow herringbone lining ykk japan excella antique silver gusset book musketeer box
36,Elwyn Coin Pouch Bifold Wallet (RFID),"ur most classic design polished to modern day standards, the Elwyn commands an understated presence brought forth by the harmony of lush leathers, hand-painted sides and hand-stitched detailing. Premium herringbone lining provides that finishing touch. Store your SIM card and pin in its hidden compartment.

RFID-protection against credit card fraud and identity theft.","Materials
- U.S full-grain leather
- Cotton blend herringbone lining
- Hand-stitched oxblood thread binding
- RFID blocking lining
Features
- 2 bill compartment, 6 card slots, 1 coin compartment
- SIM card and pin slots
- RFID-protection
- Packaged in our signature grey book box",cotton blend herringbone oxblood bind rfid bill sim grey book box
37,Elwyn Coin Slot Bifold Wallet (RFID),"Our most classic design polished to modern day standards, the Elwyn exudes an understated presence brought forth by the harmony of lush leathers, hand-painted sides and hand-stitched detailing. Premium herringbone lining provides that finishing touch. Store your coins, keys, SIM card and pin in its hidden compartments.

RFID-protection against credit card fraud and identity theft.","Materials
- U.S full-grain leather
- Cotton blend herringbone lining
- Hand-stitched oxblood thread binding
- RFID blocking lining
Features
- 2 bill compartments, 10 card slots
- SIM card and pin slots
- Hidden coin compartment
- RFID-protection
- Packaged in our signature grey book box",cotton blend herringbone oxblood bind rfid bill sim hide grey book box
38,Envelope Small Bifold Wallet (RFID),"Inspired by the elegant simplicity of the envelope, this compact wallet stores all your essentials, plus a slot for your SIM card and pin. A special RFID-blocking lining protects your credit cards from fraud, making it the perfect travel wallet that also fits in your smaller everyday bags.","Materials
- U.S full-grain Nappa cow leather 
- Cotton blend herringbone lining
- RFID blocking lining
- YKK Japan Excella gold zippers
- Hand-stitched oxblood thread binding
Features
- 2 cash compartments, 8 card slots
- 1 exterior zippered coin compartment
- SIM card and pin slots
- RFID-protection
- Packaged in our signature grey envelope",cow   cotton blend herringbone rfid lining ykk japan excella gold oxblood cash sim grey envelope
39,Griffin Compact Bifold Wallet,"The definitive choice for the minimalist, the Griffin holds your bills in the smallest possible surface area and your cards in the slimmest possible profile. No more ugly bulges.

For RFID-Protection, shop the Griffin Compact Coin Slot Bifold Wallet (RFID).","Materials
- U.S full-grain leather
- Cotton blend herringbone lining
- Hand-stitched oxblood thread binding
Features
- 1 bill compartment, 6 card slots
- Packaged in our signature grey book box",cotton blend herringbone oxblood bill grey book box
40,Elwyn Bifold Wallet,"Our most classic design polished to modern-day standards, the Elwyn exudes an understated presence brought forth by the harmony of lush leathers, hand-painted sides and hand-stitched detailing. Premium herringbone lining provides that finishing touch.

For RFID-Protection, shop the Elwyn Billfold (RFID).","Materials
- U.S full-grain leather
- Herringbone cotton blend lining
- Hand-stitched oxblood thread binding
Features
- 2 bill compartments, 10 card slots
- Packaged in our signature grey book box",herringbone cotton blend oxblood bill grey book box
41,Elwyn Coin Pouch Bifold Wallet,"Our most classic design polished to modern day standards, the Elwyn commands an understated presence brought forth by the harmony of lush leathers, hand-painted sides and hand-stitched detailing. Premium herringbone lining provides that finishing touch.

For RFID-Protection, shop the Elwyn Coin Billfold (RFID)","Materials
- U.S full grain leather
- Herringbone cotton blend lining
- Hand-stitched oxblood thread binding
Features
- 2 bill compartment, 6 card slots, 1 coin compartment
- Packaged in our signature grey book box",herringbone cotton blend oxblood bill grey book box
42,Treville Coin Slot Bifold Wallet,"Treville is the quintessential, everyday leather wallet crafted for the modern day musketeer - respectable, chivalrous and an unfaltering figure of dependability. Expectedly, this canny hero also packs a trick up his sleeve - a secret coin compartment. ","Materials
- Full grain U.S. Cow Leather
- Cross grain U.S Cow Leather
- Herringbone Lining
Features
- 1 bill compartment, 10 card slots 1 hidden coin compartment
- Debossed quote ""Un pour tous, Tous pour un""
- Packaged in our Signature Book III: The 4th Musketeer box",cow cross cow herringbone bill hide book musketeer box
43,Treville Coin Pouch Bifold Wallet,"The natural amalgamation of functionality and style, this leather coin billfold of refined proportions fits all your essentials - cash, cards, coins and keys. Now head out and conquer the day! 

Inspired by Alexandra Dumas' The Three Musketeers, uncover an engraving of the famous quote ""One for all, all for one"" in french.","Materials
- Full grain U.S. Cow Leather
- Herringbone Lining
Features
-1 bill compartment, 6 card slots, 1 coin compartment
- Debossed quote ""Un pour tous, Tous pour un""
- Packaged in our Signature Book III: The 4th Musketeer box",cow herringbone bill book musketeer box
44,Antoinette Tab Small Bifold Wallet,"The Antoinette Tab Small Bifold Wallet melds the best of two worlds - the functionality to store all your notes, cards and coins while compact enough to fit in small bags. The dual gusset coin compartment gives unparalleled organisation. The added versatility of a strap makes hands free travel a breeze. Made of the finest quality full-grain leather, this wallet is destined to age elegantly.","Materials
- Full grain U.S. Cow Leather
- Cross grain U.S Cow Leather
- Herringbone Lining
- YKK Japan Excella antique silver zippers
Features
-14 card slot, 1 note compartment
- 1 exterior zippered coin compartment with 2 gussets
- Debossed quote ""Un pour tous, tous pour un""
- Packaged in our Signature Book III: The 4th Musketeer box",cow cross cow herringbone lining ykk japan excella antique silver gusset book musketeer box
45,Agrippa Bifold Wallet (Limited Edition),"The Agrippa Billfold, as the name suggests, is the epitome of your right-hand man - reliable, resourceful and ever so hardy. Every king needs one and so do the modern knights of our concrete jungle we call gentleman.","Materials
- Full grain U.S. Cow Leather
- Black and White Glen Plaid lining
- Hand-stitched blue thread binding
Features
- 2 bill compartments, 10 card slots
- Comes packaged in roman-inspired AUGUSTUS book box",cow black white plaid lining blue bill romaninspire augustus book box
46,Augustus Coin Bifold Wallet (Limited Edition),"The Augustus Coin Billfold is the workhorse of wallets with slots for cash, cards and coins. At the same time, it exudes a presence befitting of the Roman Emperor - majestic and full of depth.","Materials
- Full grain U.S. Cow Leather
- Black and White Glen Plaid lining
- Hand-stitched blue thread binding
Features
- 1 bill compartment, 7 card slots, 1 coin compartment
- Comes packaged in roman-inspired AUGUSTUS book box",cow black white plaid lining blue bill romaninspire augustus book box
47,Livia Compact Bifold Wallet (Limited Edition),"Perfect for fitting into a jacket pocket, the Livia Card Wallet holds all your cards and cash in the slimmest possible fashion. A name inspired by the wife of Augustus himself, the Livia is both an elegant and enduring companion in every setting.","Materials
- Full grain U.S. Cow Leather
- Black and White Glen Plaid lining
- Hand-stitched blue thread binding
Features
- Cash compartment, 6 card slots
- Comes packaged in roman-inspired AUGUSTUS book box",cow black white plaid lining blue cash romaninspire augustus book box
48,Piso Money Clip Bifold Wallet (Limited Edition),"The Piso Money Clip Billfold stands out for its clever design of keeping all your cash and cards in svelte profile, a testament to the innovative ways associated with this man of influence. Meanwhile, its interior silver clip peeks out for that finishing touch.","Materials
- Full grain U.S. Cow Leather
- Black and White Glen Plaid lining
- Hand-stitched blue thread binding
Features
- Money clip snap closure, 9 card slots
- Comes packaged in roman-inspired AUGUSTUS book box",cow black white plaid lining blue clip snap closure romaninspire augustus book box
49,Bond Money Clip Bifold Wallet,"Marrying the classic good looks of the billfold and the sleek profile of the money clip, the Bond exudes a confidence and charisma that James himself would approve of. Our hope is that Q gives ours a nifty tech upgrade.","Materials
- Full grain U.S. Cow Leather
- Blue and Green Shepard's Check Nylon Lining
- Hand-stitched Red Thread binding
Features
- 2 bill compartments, 10 card slots
- Signature Jekyll's Hyde crest and quote deboss
- Comes packaged in Book II: Jekyll's Hyde book box",cow blue green check nylon lining red bill hyde crest deboss book hyde book box
50,Regent Bifold Wallet,"The Regent is the quintessential billfold crafted for the modern gentleman. But look inside you will find an alter ego residing in the form of a contrast colour, a visual subtlety at its finest.","Materials
- Full grain U.S. Cow Leather
- Blue and Green Shepherd's Check Nylon Lining
- Hand-stitched Red Thread binding
Features
- 2 bill compartments, 10 card slots
- Signature Jekyll's Hyde crest and quote deboss
- Comes packaged in Book II: Jekyll's Hyde book box",cow blue green check nylon lining red bill hyde crest deboss book hyde book box
51,Brighton Compact Bifold Wallet,"Designed with a streamline portrait aesthetic, the Brighton Compact Bifold Wallet is ideal for the urban gentleman who is inclined towards minimalism but is always prepared. The secondary colour on the interior gives it an additional depth of detail. (Colours may look slightly different under varying light conditions)","Materials
- Full grain U.S. cow leather
- Shepherd's check fabric lining
- Hand-stitched red thread binding
Features
- Cash compartment, 6 card slots
- Signature Jekyll's Hyde crest and quote deboss
- Packaged in our Book II: Jekyll's Hyde box",cow check lining red cash hyde crest deboss book hyde box
52,Regent Coin Pouch Bifold Wallet,"The Regent Coin Pouch Billfold is the first in our range that features a coin compartment. Emblazoned with a collection specific crest, the Regent adds a touch of style to the detail-oriented dandy.","Materials
- Full grain U.S. Cow Leather
- Shepherd's Check Fabric lining
- Hand-stitched Red Thread binding
Features
- 1 bill compartment, 7 card slots, 1 coin compartment
- Signature Jekyll's Hyde crest and quote deboss
- Comes packaged in Book II: Jekyll's Hyde book box",cow check lining red bill hyde crest deboss book hyde book box
53,Pine Compact Bifold Wallet,"If the regular billfold just won't get along with your suit pocket, but you still want the best of it, then let the Pine steal the show. This is your trusted comrade-in-arms, just like that perfectly fitting navy suit.","Materials
- Full grain U.S. Cow Leather
- Shepherd's Check Fabric lining
- Hand-stitched red thread binding
Features
- Cash compartment, 5 card slots
- Signature The Hare & Flying Tortoise deboss
- Packaged in our Book I: The Hare & the Flying Tortoise Box",cow check lining red cash   tortoise deboss book   tortoise box
54,Lubin Coin & Key Zip Card Holder Crossbody Bag | Web-Exclusive,"The Lubin was created with one sole purpose - to house your cards, keys and coins in one fell swoop. Crafted in a lush full grain leather, Lubin will age gracefully with everyday use. The crossbody strap gives you hands-free convenience while also making a fashion statement.","Materials
- Full grain U.S. Cow Leather
- Cross grain U.S Cow Leather
- Herringbone Lining
- YKK Japan Excella antique silver zippers
Features
- 2 interior card slots, 1 exterior card slot
- Key ring with chain for quick key access
- Debossed quote ""Un pour tous, Tous pour un""
- Packaged in our Signature Book III: The 4th Musketeer box",cow cross cow herringbone lining ykk japan excella antique silver chain quick book musketeer box
55,Lubin Coin & Key Zip Card Holder,"The Lubin was created with one sole purpose - to house your cards, keys and coins in one fell swoop. Crafted in a lush full grain leather, Lubin will age gracefully with everyday use. The crossbody strap gives you hands-free convenience while also making a fashion statement.","Materials
- Full grain U.S. Cow Leather
- Cross grain U.S Cow Leather
- Herringbone Lining
- YKK Japan Excella antique silver zippers
Features
- 2 interior card slots, 1 exterior card slot
- Key ring with chain for quick key access
- Debossed quote ""Un pour tous, Tous pour un""
- Packaged in our Signature Book III: The 4th Musketeer box",cow cross cow herringbone lining ykk japan excella antique silver chain quick book musketeer box
56,Twain Card Holder (RFID),"The Twain card holder fits in your hand like that perfect handshake — firm, unassuming and uplifting. This classy leather card holder inspires confidence and as it would great conversations in any social setting. Make every name card count.","Materials
- U.S full-grain waxed leather
- Cotton blend herringbone lining
- Hand-stitched oxblood thread binding
- RFID blocking lining
Features
- Gusseted compartment fits up to 25 name cards
- 3 interior card slots, 1 exterior card slot
- RFID-protection
- Packaged in our signature grey envelope",wax cotton blend herringbone oxblood bind rfid grey envelope
57,Oscar Slim Cash Card Holder (RFID),"Our SLIMMEST wallet yet that fits both your cash and cards, the Oscar is a beautiful balance of sleek meets convenience.","Materials
- U.S full-grain waxed leather
- Herringbone cotton blend lining
- Hand-stitched oxblood thread binding
- RFID blocking lining
Features
- 1 cash slot, 6 card slots, RFID-protection
- Packaged in our signature grey envelope",wax herringbone cotton blend oxblood bind rfid cash grey envelope
58,Walt Slim Card Holder (RFID),"Simplicity lies at the heart of the Walt, offering 5 card slots in slimmest possible silhouette. You might not notice it from time to time, but it's there when you need it.","Materials
- U.S full-grain waxed leather
- Cotton blend herringbone lining
- Hand-stitched oxblood thread binding
- RFID blocking lining
Features
- 5 card slots, RFID-protection
- Packaged in our signature grey envelope",wax cotton blend herringbone oxblood bind rfid grey envelope
59,Walt Slim Card Holder,"Simplicity lies at the heart of the Walt, offering 5 card slots in the slimmest possible silhouette. You might not notice it from time to time, but it's there when you need it.","Materials
- U.S full grain leather
- Cotton blend herringbone lining
- Hand-stitched oxblood thread binding
Features
- 5 card slots
- Packaged in our signature grey envelope",cotton blend herringbone oxblood grey envelope
60,Gillian Zip Card Holder (RFID),"Our SLIMMEST zippered wallet was designed to store coins, keys and cash in the main compartment while offering 4 quick-access exterior card slots. A special RFID-blocking lining protects your credit cards from fraud, making it the perfect travel wallet that also slides in your pocket without bulge and smaller everyday bags.","Materials
- U.S full-grain Nappa cow leather 
- Cotton blend herringbone lining
- RFID blocking lining
- YKK Japan Excella gold zippers
- Hand-stitched oxblood thread binding
Features
- 1 zippered slot for coins, cards, keys, cash
- 4 exterior card slots
- 1 interior card slot
- RFID-protection
- Packaged in our signature grey envelope",cow   cotton blend herringbone rfid lining ykk japan excella gold oxblood cash grey envelope
61,Envelope Coin and Card Holder (RFID),"Inspired by the elegant simplicity of the envelope, this wallet stores all your cards, coins and keys, expanding when you need more storage while staying slim when storing less. A special RFID-blocking lining protects your credit cards from fraud, making it the perfect travel wallet that also fits in your pocket and smaller everyday bags.","Materials
- U.S full-grain Nappa cow leather 
- Cotton blend herringbone lining
- RFID blocking lining
- Hand-stitched oxblood thread binding
Features
- Gusset compartment fits coins, cash, keys and 10-15 cards
- 2 exterior card slots
- RFID-protection
- Packaged in our signature grey envelope",cow   cotton blend herringbone rfid oxblood gusset cash grey envelope
62,Eliot Card Holder (RFID),"The Eliot card holder fits in your hand like that perfect handshake — firm, unassuming and uplifting. This classy leather card holder inspires confidence and as it would great conversations in any social setting. Make every name card count. ","Materials
- U.S full-grain Nappa cow leather 
- Cotton blend herringbone lining
- RFID blocking lining
- Hand-stitched oxblood thread binding
Features
- Gusseted compartment fits up to 25 name cards
- 3 interior card slots, 1 exterior card slot
- Hand-stitched red thread binding
- RFID-protection
- Packaged in our signature grey book box",cow   cotton blend herringbone rfid oxblood red bind grey book box
63,Austen Slim Cash Card Holder (RFID),"Our SLIMMEST wallet yet that fits both your cash and cards, the Austen is a beautiful balance of sleek meets convenience.","Materials
- U.S full-grain Nappa cow leather 
- Cotton blend herringbone lining
- RFID blocking lining
- Hand-stitched oxblood thread binding
Features 
- 1 cash slot, 6 card slots
- RFID-protection
- Packaged in our signature grey envelope",cow   cotton blend herringbone rfid oxblood   cash grey envelope
64,Louis Slim Card Holder,"Pound for pound, Louis overdelivers on style and functionality, remaining compact and sleek while its supple leather body gets packed with your all daily essentials. ","Materials
- Full grain U.S. Cow Leather
- Cross grain U.S. Cow Leather
- Herringbone Lining
Features
- 5 card slots
- Debossed quote ""Un pour tous, Tous pour un""
- Packaged in our Signature card sleeve envelope",cow cross cow herringbone sleeve envelope
65,Maecenas Card Holder (Limited Edition),"The Maecenas Card Holder is so named for his significance as the political advisor to Augustus. Crafted in a handsome, grey full grain leather, every name card given out from Maecenas will be sure to make an impression.","Materials
- Full grain U.S. Cow Leather
- Black and White Glen Plaid lining
- Hand-stitched blue thread binding
Features
- Gusseted compartment fits up to 25 name cards
- 4 interior card slots, 1 exterior card slot
- Comes packaged in roman-inspired AUGUSTUS book box",cow black white plaid lining blue romaninspire augustus book box
66,Warren Card Holder,"The Warren fits in your hand like that perfect handshake - firm, unassuming and uplifting. This classy card holder inspires confidence and as it would great conversations in any social setting. Make every name card count.","Materials
- Full grain U.S. Cow Leather
- Blue and Green Shepherd's Check Nylon Lining
- Hand-stitched red thread binding
Features
- Gusseted compartment fits up to 25 name cards
- 3 interior card slots, 1 exterior card slot
- Packaged in Book II: Jekyll's Hyde Book Box",cow blue green check nylon lining red book hyde book box
67,Birch Card Holder,"The Birch is our signature leather card holder, designed with card sleeves and a pocket to store a variety of name cards and credit cards. The stylish solution for the man always on the go and the life of the party.","Materials
- Full grain U.S. Cow Leather
- Shepherd's Check Fabric lining
- Hand-stitched Red Thread binding
Features
- Gusseted compartment fits up to 30 name cards, 5 interior card slots, 1 exterior card slot
- Signature Hare & Flying Tortoise deboss
- Packaged in our Book I: The Hare & the Flying Tortoise Box",cow check lining red   tortoise deboss book   tortoise box
68,Milady Long Wallet Crossbody Bag,"Milady presents a contemporary exterior framed by clean lines and fine details. A chic leather flap unravels an interior that's full of useful compartments. Bag it, clutch it or sling it cross body, Milady will mould effortlessly into your multi-faceted lifestyle.","Materials
- Full grain U.S. Cow Leather
- Cross grain U.S Cow Leather
- Herringbone Lining
- YKK Japan Excella antique silver zippers
Features
- 16 card slot, 2 note gussets, 2 note slots
- 1 interior zippered coin compartment
- Debossed quote ""Un pour tous, Tous pour un""
- Detachable leather shoulder strap
- Packaged in our Signature Book III: The 4th Musketeer box",cow cross cow herringbone lining ykk japan excella antique silver gusset detachable strap book musketeer box
69,Sabine Zip Long Wallet,"The Sabine Zip Long Wallet is the workhorse of leather lady’s wallets, offering extensive functinality in a stylish slender body and even fits your phone. Alluring from all angles, this accordion zip wallet checks all the right boxes for the modern lady. The crossbody strap allow this to be carried as a bag for hands-free convenience.","Materials
- Full grain U.S. Cow Leather
- Cross grain U.S Cow Leather
- Herringbone Lining
- YKK Japan Excella antique silver zippers
Features
- 16 card slot, 2 note gussets, 2 note slots
- 1 interior zippered coin compartment
- Debossed quote ""Un pour tous, Tous pour un""
- Packaged in our Signature Book III: The 4th Musketeer box",cow cross cow herringbone lining ykk japan excella antique silver gusset book musketeer box
70,Sabine Zip Long Wallet Crossbody Bag | Web-Exclusive,"The Sabine Zip Long Wallet is the workhorse of leather lady’s wallets, offering extensive functinality in a stylish slender body and even fits your phone. Alluring from all angles, this accordion zip wallet checks all the right boxes for the modern lady. The crossbody strap allow this to be carried as a bag for hands-free convenience.","Materials
- Full grain U.S. Cow Leather
- Cross grain U.S Cow Leather
- Herringbone Lining
- YKK Japan Excella antique silver zippers
Features
- 16 card slot, 2 note gussets, 2 note slots
- 1 interior zippered coin compartment
- Debossed quote ""Un pour tous, Tous pour un""
- Packaged in our Signature Book III: The 4th Musketeer box",cow cross cow herringbone lining ykk japan excella antique silver gusset book musketeer box
71,Herman Passport Notebook Holder (RFID),"✓Passport
✓Frequent flyer and credit cards
✓Boarding pass
✓Currency slot
✓SIM card and SIM card pin
✓RFID-protection

The Herman Slim organises all your traveling essentials in one handsome, compact profile. Breeze through your worldly adventures in style.","Materials
- U.S full-grain Nappa cow leather 
- Cotton blend herringbone lining
- RFID blocking lining
- Hand-stitched oxblood thread binding
Features
- Passport slot
- Boarding pass slot
- 1 currency slot, 5 card slots
- SIM card and pin slots
- Zippered compartment
- RFID-protection
- Packaged in our signature grey book box",cow   cotton blend herringbone rfid oxblood passport boarding sim grey book box
72,Herman Cash & Coin Passport Wallet (RFID),"✓Passport 
✓Frequent flyer and credit cards 
✓Boarding pass 
✓Home and foreign currencies 
✓SIM card and SIM card pin
✓Coins, keys, memory cards and other small items 
✓RFID-protection

The Herman organises all your traveling essentials in one handsome, compact profile. Breeze through your worldly adventures in style.","Materials
- U.S full-grain Nappa cow leather 
- Cotton blend herringbone lining
- RFID blocking lining
- YKK Japan Excella gold zippers
- Hand-stitched oxblood thread binding
Features
- Passport slot
- Boarding pass slot
- 2 currency slots, 5 card slots
- SIM card and pin slots
- Zippered compartment
- RFID-protection
- Packaged in our signature grey book box",cow   cotton blend herringbone rfid lining ykk japan excella gold oxblood passport boarding sim grey book box
73,Jules Passport Notebook Holder (RFID),"✓Passport
✓Frequent flyer and credit cards
✓Boarding pass
✓Currency slot
✓SIM card and SIM card pin
✓RFID-protection

The Jules Slim organises all your travelling essentials in one handsome, compact profile. Breeze through your worldly adventures in style.","Materials
- U.S full-grain waxed leather
- Cotton blend herringbone lining
- RFID blocking lining
- Hand-stitched oxblood thread binding
- YKK Japan Excella antique silver zippers
Features
- Passport slot (complies with the international standard, B7 format)
- Boarding pass slot
- 1 currency slot, 5 card slots
- SIM card and pin slots
- RFID-protection
- Packaged in our signature grey book box",wax cotton blend herringbone rfid oxblood bind ykk japan excella antique silver passport boarding sim grey book box
74,Jules Cash & Coin Passport Wallet (RFID),"✓Passport 
✓Frequent flyer and credit cards 
✓Boarding pass 
✓Home and foreign currencies 
✓SIM card and SIM card pin 
✓Coins, keys, memory cards and other small items 
✓RFID-protection

The Jules organises all your traveling essentials in one handsome, compact profile. Breeze through your worldly adventures in style.","Materials
- U.S full-grain waxed leather
- Cotton blend herringbone lining
- RFID blocking lining
- Hand-stitched oxblood thread binding
- YKK Japan Excella antique silver zippers
Features
- Passport slot (complies with the international standard, B7 format)
- Boarding pass slot
- 2 currency slots, 5 card slots
- SIM card and pin slots
- Zippered compartment
- RFID-protection
- Packaged in our signature grey book box",wax cotton blend herringbone rfid oxblood bind ykk japan excella antique silver passport boarding sim grey book box
75,Jules Cash & Coin Passport Wallet,"✓Passport
✓Frequent flyer and credit cards
✓Boarding pass
✓Home and foreign currencies
✓SIM card and SIM card pin
✓Coins, keys, memory cards and other small items

The Jules organises all your traveling essentials in one handsome, compact profile. Breeze through your worldly adventures in style.","Materials
- U.S full-grain leather
- Cotton blend herringbone lining
- Hand-stitched oxblood thread binding
- YKK Japan Excella antique silver zippers
Features
- Passport slot (complies with the international standard, B7 format)
- Boarding pass slot
- 2 currency slots, 5 card slots
- SIM card and pin slots
- Zippered compartment
- Packaged in our signature grey book box",cotton blend herringbone oxblood bind ykk japan excella antique silver passport boarding sim grey book box
76,Book Slim ID Card Holder Lanyard,"Designed to look and flip open like a book, this lanyard kindles that spirit of travel and adventure. Take it on your worldly conquests and office commutes. Conceal your identity at all times, then reveal it with an easy flip. Store your identity card, staff passes, bus cards and more with a clear window slot and 2 extra card slots at the back.","Materials
- U.S full-grain waxed leather
- Herringbone cotton blend lining
- Hand-stitched oxblood thread binding
Features
- 1 card slot with transparent window
- 2 classic card slots
- Packaged in our signature grey mini dustbag",wax herringbone cotton blend oxblood transparent classic grey
77,Bookmark Mini Luggage Tag,"It's both a bookmark and luggage tag, crafted not in paper but a luscious nappa full-grain leather. Accessorise your bag or luggage as you make your mark on adventures transversing fantasy and reality. Personalise it to make it distinctly yours.","Materials
- U.S full-grain nappa leather
- Hand-stitched oxblood thread binding
Features
- Bookmark inspired design, use it as a bookmark
- Able to attach securely to all bags and luggages with handles
- Packaged in our signature grey mini dustbag
- Personalise it with our monogram options",oxblood attach grey
78,Bookmark Luggage Tag,"It's both a bookmark and luggage tag, crafted not in paper but a luscious nappa full-grain leather. Accessorise your bag or luggage as you make your mark on adventures transversing fantasy and reality. Personalise it to make it distinctly yours.","Materials
- U.S full-grain nappa leather
- Hand-stitched oxblood thread binding
Features
- Bookmark inspired design, use it as a bookmark
- Able to attach securely to all bags and luggages with handles
- Packaged in our signature grey mini dustbag
- Personalise it with our monogram options",oxblood attach grey
79,Book Mini Luggage Tag,"Designed to look and flip open like a book, the Book Mini Luggage Tag kindles that spirit of travel and adventure. Take it on your worldly conquests. Write your story.","Materials
- U.S full grain waxed leather
- Hand-stitched oxblood thread binding
Features
- Card to pen your identity or inspiration
- Able to attach securely to all bags and luggage with handles
- Packaged in our signature grey mini dustbag
- Personalise it with our monogram options",wax oxblood pen attach grey
80,Book Luggage Tag,"Designed to look and flip open like a book, the Book Luggage Tag kindles that spirit of travel and adventure. Take it on your worldly conquests. Write your story.","Materials
- U.S full-grain waxed leather
- Hand-stitched oxblood thread binding
Features
- Card to pen your identity and contact information
- Able to attach securely to all bags and luggages with handles
- Packaged in our signature grey mini dustbag
- Personalise it with our monogram options",wax oxblood pen attach grey
81,Smith Braided Leather Bracelet,"An understated essential, the Smith bracelet speaks volumes of style through its crisp silhouette and refined hardware. Woven from Italian full grain leather, one can expect a beautiful patina to form over use and time.","Materials
- Italian Full-grain Leather
- Matt Silver Stainless Steel",italian matt silver stainless steel
82,Smith Braided Leather Bracelet (Antique),"An understated essential, the Smith bracelet speaks volumes of style through its crisp silhouette and refined hardware. Woven from Italian full grain leather that has been dyed and washed using time-honoured techniques, beautiful gradual shades form a distinctive antique finish.","Materials
- Italian Full-grain Leather
- Antique Silver Stainless Steel",italian antique silver stainless steel
83,Ralph Braided Leather Bracelet,"A perennial classic, the Ralph bracelet adorns the wrist with the perfect balance of casual and dressy while maintaining an almost effortless flair. Woven from Italian full grain leather, one can expect a beautiful patina to form over use and time.","Materials
- Italian Full-grain Leather
- Matt Silver Stainless Steel",italian matt silver stainless steel
84,Ralph Braided Leather Bracelet (Antique),"A perennial classic, the Ralph bracelet adorns the wrist with the perfect balance of casual and dressy while maintaining an almost effortless flair. Woven from Italian full grain leather that has been dyed and washed using time-honoured techniques, beautiful gradual shades form a distinctive antique finish.","Materials
- Italian Full-grain Leather
- Antique Silver Stainless Steel",italian antique silver stainless steel
85,Lucky Horse Beads Bracelet,"The horse, powerfully grounded yet freely moving, has proven to be significantly integral during medieval times while their shoes became widely known to be a symbol of good luck. The harmonious coupling of this two-sided antique silver charm with the organic form of hematite cubes makes for a bracelet that's effortlessly stylish and versatile.","Materials
- Stainless steel antique silver horse charm and beads
- 2mm Hematite cubes
Features
- Signature 2 sided emboss-deboss logo charm
- Comes packaged in a cotton dustbag",stainless steel antique silver horse charm bead charm cotton
86,Fleur-de-lis Beads Bracelet,"A mark of royalty, the fleur-de-lis evokes a sense of romanticism and has stood the test of time for centuries through kingdoms across the Europe. This tuneful bracelet pairing of an antique silver fleur-de-lis with the soft lustre of multi-faceted hematite beads is a nod to ancient opulence and modern wearability.","Materials
- Stainless steel antique silver fleur-de-lis charm and beads
- 6mm Hematite beads
Features
- Signature 2 sided emboss-deboss logo charm
- Comes packaged in a cotton dustbag",stainless steel antique silver fleurdeli charm bead charm cotton
87,Lionskull Beads Bracelet,"King of the pride by day and Lord of the dark by night, the Lionskull Beads Bracelet speaks of your innate duality, redefined through the sophisticated pairing of intricate matt silver charms and alluring black lava beads. Why choose when you can be them both?","Materials
- Stainless steel gold hardware with matt finish
- 8mm black lava stones
Features
- Signature 2 sided emboss-deboss logo charm
- Comes packaged in a cotton dustbag",stainless steel gold hardware matt black charm cotton
88,Knightclaw Beads Bracelet,"Designed for the modern day knight with a wild side, the Knightclaw Beads Bracelet offers two styles in one, allowing you to switch it up depending on your mood or the occasion. But most of the time, we'd find it hard to disagree that it's these two opposing halves that make us whole.","Materials
- Knight helmet charm embellished with black zirconia stones
- Panther charm decorated with green and white zirconia stones
- 8mm black lava and jasper green beads
Features
- Signature 2 sided emboss-deboss logo charm
- Comes packaged in a cotton dustbag",knight charm embellish black zirconia stone panther charm green white zirconia stone black jasper green charm cotton
